                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-macos-20.3.2"                                 "CRMATH"                               "20200327"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1138                  3.1622776601683819E+002                  2.5000000000000000E+000                  1.0000000000000000E+001                  3.4298678450560182E+001                 -9.8999999999999986E+001                  2.9343494181364242E+000                  2.9242897534862000E-001                  7.8129739536097626E-008                  9.9999998391154166E-001                  9.9999994892471966E-001                  2.9242897534862000E-001                  7.8129739536097626E-008                  9.9999998391154166E-001                  9.9999994892471966E-001                  3.8073055200079078E+000                 -3.0457449927155629E+001                 -9.8999999999999986E+001                  3.8073055200079078E+000                  1.7754051244224354E+000                  3.8032512799650049E+000                 -3.0457449927155629E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0395681709040233E+033                  9.4500862341671941E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4034775657096752E+000                  3.7590583788372265E+000                  5.9583289445189025E-001                  4.2462235645093447E+000                 -5.7660878043572351E-009                  1.6622748016750464E+001                  9.6709162829508355E-001                  7.5018665768504897E+000                  6.2047522416422041E-001                  8.4946816105642597E-001                  1.2982237161468799E+000                  6.9893620607513551E-001                  2.8051078980919114E-001                  6.8751605626291202E-005                  9.2845492890436618E-003                  3.4416106108119946E-003                  9.3604466091399708E-003                  6.9967040738207356E+000                  2.8013200240261962E+000                                        0                                        0                                        3 
